,철도운영기관명,선명,역명,지번주소,도로명주소
0,부산교통공사,1호선,괴정,부산광역시 사하구 괴정동 934-3,부산광역시 사하구 낙동대로 지하 221(괴정동)
1,부산교통공사,1호선,교대,부산광역시 연제구 거제동 72-25,부산광역시 연제구 중앙대로 지하 1217
2,부산교통공사,1호선,구서,부산광역시 금정구 구서동 475,부산광역시 금정구 금정로 233번길 46(구서동)
3,부산교통공사,1호선,남산(부산외국대학교),부산광역시 금정구 남산동 136-1,부산광역시 금정구 중앙대로 2019-1
4,부산교통공사,1호선,남포,부산광역시 중구 남포동1가 11,부산광역시 중구 구덕로 지하 12
5,부산교통공사,1호선,낫개,부산시 사하구 다대동 63-13,부산시 사하구 다대로 지하 422 낫개역
6,부산교통공사,1호선,노포(종합버스터미널),부산광역시 금정구 노포동 133,부산광역시 금정구 중앙대로 2238(노포동)
7,부산교통공사,1호선,다대포항,부산시 사하구 다대동 909,부산시 사하구 다대로 지하 548 다대포항역
8,부산교통공사,1호선,다대포해수욕장,부산시 사하구 다대동 1552-16,부산시 사하구 다대로 지하 692 다대포해수욕장역
9,부산교통공사,1호선,당리(사하구청),부산광역시 사하구 당리동 323,부산광역시 사하구 낙동대로 지하 405(당리동)
10,부산교통공사,1호선,대티(동주대학),부산광역시 사하구 괴정동 317-1,부산광역시 사하구 낙동대로 지하 141(괴정동)
11,부산교통공사,1호선,동대신,부산광역시 서구 동대신동2가 428-9,부산광역시 서구 구덕로 지하 290
12,부산교통공사,1호선,동래,부산광역시 동래구 온천동 527,부산광역시 동래구 중앙대로 1324
13,부산교통공사,1호선,동매,부산시 사하구 신평동 544-2,부산시 사하구 신산로 지하 168 동매역
14,부산교통공사,1호선,두실,부산광역시 금정구 구서동 262,부산광역시 금정구 중앙대로 1927(구서동)
15,부산교통공사,1호선,명륜,부산광역시 동래구 온천동 489-4,부산광역시 동래구 중앙대로 1414
16,부산교통공사,1호선,범내골,부산광역시 부산진구 범천동 948-4,부산광역시 부산진구 중앙대로 지하 612
17,부산교통공사,1호선,범어사,부산광역시 금정구 청룡동 47,부산광역시 금정구 중앙대로 2107(청룡동)
18,부산교통공사,1호선,범일,부산광역시 동구 범일동 949,부산광역시 동구 범일로 지하 108
19,부산교통공사,1호선,부산,부산광역시 동구 초량동 1206-1,부산광역시 동구 중앙대로 지하 200
20,부산교통공사,1호선,부산대,부산광역시 금정구 장전동 427,부산광역시 금정구 장전온천천로 48(장전동)
21,부산교통공사,1호선,부산진,부산광역시 동구 초량동 1170,부산광역시 동구 중앙대로 지하 350
22,부산교통공사,1호선,부전(부산시민공원·송상현광장),부산광역시 부산진구 부전동 573-1,부산광역시 부산진구 중앙대로 지하 786
23,부산교통공사,1호선,사하,부산광역시 사하구 괴정동 661,부산광역시 사하구 낙동대로 지하 309(괴정동)
24,부산교통공사,1호선,서대신,부산광역시 서구 서대신동2가 338,부산광역시 서구 대영로 지하 1
25,부산교통공사,1호선,서면,부산광역시 부산진구 부전동 573-1,부산광역시 부산진구 중앙대로 지하 730
26,부산교통공사,1호선,시청(연제),부산광역시 연제구 연산동 1328-9,부산광역시 연제구 중앙대로 지하 1017
27,부산교통공사,1호선,신장림,부산시 사하구 장림동 380,부산시 사하구 다대로 지하 310 신장림역
28,부산교통공사,1호선,신평,부산광역시 사하구 신평동 646,부산광역시 사하구 하신번영로 140(신평동)
29,부산교통공사,1호선,양정,부산광역시 부산진구 양정동 408,부산광역시 부산진구 중앙대로 지하 930
30,부산교통공사,1호선,연산,부산광역시 연제구 연산동 1515-1,부산광역시 연제구 중앙대로 지하 1101
31,부산교통공사,1호선,온천장,부산광역시 동래구 온천동 1750-1,부산광역시 동래구 중앙대로 1520
32,부산교통공사,1호선,자갈치,부산광역시 중구 남포동6가 117-1,부산광역시 중구 구덕로 지하 80
33,부산교통공사,1호선,장림,부산시 사하구 장림동 185-9,부산시 사하구 다대로 지하 230 장림역
34,부산교통공사,1호선,장전(부산가톨릭대학교),부산광역시 금정구 장전동 242,부산광역시 금정구 장전온천천로 144(장전동)
35,부산교통공사,1호선,좌천,부산광역시 동구 좌천동 236,부산광역시 동구 중앙대로 지하 446
36,부산교통공사,1호선,중앙,부산광역시 중구 중앙동4가 26-3,부산광역시 중구 중앙대로 지하 83
37,부산교통공사,1호선,초량,부산광역시 동구 초량동 1170,부산광역시 동구 중앙대로 지하 264
38,부산교통공사,1호선,토성,부산광역시 서구 토성동3가 11-3,부산광역시 서구 구덕로 지하 170
39,부산교통공사,1호선,하단(부산본병원),부산광역시 사하구 하단동 491,부산광역시 사하구 낙동남로 지하 1415(하단동)
40,부산교통공사,2호선,가야,부산광역시 부산진구 가야동 15-13,부산광역시 부산진구 가야대로 지하 650
41,부산교통공사,2호선,감전(사상구청),부산광역시 사상구 감전동 174,부산광역시 사상구 사상로 지하 93-1
42,부산교통공사,2호선,개금,부산광역시 부산진구 개금동 487-2,부산광역시 부산진구 가야대로 지하 442
43,부산교통공사,2호선,경성대·부경대(동명대학교),부산광역시 남구 대연동 77,부산광역시 남구 수영로 지하 324
44,부산교통공사,2호선,광안,부산광역시 수영구 광안동 205,부산광역시 수영구 수영로 지하 576(광안동)
45,부산교통공사,2호선,구남,부산광역시 북구 구포동 897-21,부산광역시 북구 백양대로 지하1026
46,부산교통공사,2호선,구명,부산광역시 북구 구포동 969-1,부산광역시 북구 백양대로 지하1094
47,부산교통공사,2호선,국제금융센터·부산은행,부산광역시 남구 문현동 728-3,부산광역시 남구 전포대로 지하 97
48,부산교통공사,2호선,금곡,부산광역시 북구 금곡동 581-1,부산광역시 북구 금곡대로 685
49,부산교통공사,2호선,금련산,부산광역시 수영구 남천동 78,부산광역시 수영구 수영로 지하 482(남천동)
50,부산교통공사,2호선,남양산(범어),경상남도 양산시 동면 석산리 1265-1,경남 양산시 동면 메기로 380번
51,부산교통공사,2호선,남천(KBS·수영구청),부산광역시 수영구 남천동 78,부산광역시 수영구 수영로 지하 410(남천동)
52,부산교통공사,2호선,냉정,부산광역시 사상구 주례동 62-2,부산광역시 사상구 가야대로 지하 362-1
53,부산교통공사,2호선,대연(고려병원),부산광역시 남구 대연동 1756-27,부산광역시 남구 수영로 지하 242
54,부산교통공사,2호선,덕천(부산과기대),부산광역시 북구 덕천동 327,부산광역시 북구 금곡대로 지하14
55,부산교통공사,2호선,덕포,부산광역시 사상구 덕포동 430,부산광역시 사상구 사상로 지하 320-1
56,부산교통공사,2호선,동백,부산광역시 해운대구 우동 991-3,부산광역시 해운대구 해운대로 지하 522
57,부산교통공사,2호선,동원,부산광역시 북구 금곡동 846-1,부산광역시 북구 금곡대로 575
58,부산교통공사,2호선,동의대,부산광역시 부산진구 가야동 236-4,부산광역시 부산진구 가야대로 지하 554
59,부산교통공사,2호선,모덕,부산광역시 사상구 덕포동 247-7,부산광역시 사상구 사상로 지하 409
60,부산교통공사,2호선,모라,부산광역시 사상구 모라동 987-8,부산광역시 사상구 사상로 지하 498
61,부산교통공사,2호선,못골(남구청),부산광역시 남구 대연동 1756-27,부산광역시 남구 수영로 지하 170
62,부산교통공사,2호선,문현,부산광역시 남구 문현동 651-1,부산광역시 남구 전포대로 지하 17
63,부산교통공사,2호선,민락,부산광역시 수영구 민락동 345-1,부산광역시 수영구 수영로 지하 769(수영동)
64,부산교통공사,2호선,벡스코(시립미술관),부산광역시 해운대구 우동 1086-3,부산광역시 해운대구 해운대로 지하 396
